,title,description,published date,url,publisher,score
15,"Student sit-in at Vanderbilt over Israel-divestment vote ends Wednesday, students arrested - Tennessean","Student sit-in at Vanderbilt over Israel-divestment vote ends Wednesday, students arrested  Tennessean","Wed, 27 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy50ZW5uZXNzZWFuLmNvbS9zdG9yeS9uZXdzL2xvY2FsLzIwMjQvMDMvMjcvc3R1ZGVudC1wcm90ZXN0LWF0LXZhbmRlcmJpbHQtb3Zlci1pc3JhZWwtZGl2ZXN0bWVudC12b3RlLWNvbnRpbnVlcy83MzExODExMTAwNy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.tennessean.com', 'title': 'Tennessean'}",3
18,Vanderbilt faces backlash after pulling Israel-divestment student vote - Tennessean,Vanderbilt faces backlash after pulling Israel-divestment student vote  Tennessean,"Tue, 26 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy50ZW5uZXNzZWFuLmNvbS9zdG9yeS9uZXdzL2VkdWNhdGlvbi8yMDI0LzAzLzI2L3ZhbmRlcmJpbHQtdW5pdmVyc2l0eS1mYWNlcy1iYWNrbGFzaC1hZnRlci1wdWxsaW5nLWlzcmFlbC1kaXZlc3RtZW50LXN0dWRlbnQtdm90ZS83MzEwOTgzNzAwNy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.tennessean.com', 'title': 'Tennessean'}",3
21,Student Protests Continue at Vanderbilt University | Pith in the Wind | Nashville News | nashvillescene.com - Nashville Scene,Student Protests Continue at Vanderbilt University | Pith in the Wind | Nashville News | nashvillescene.com  Nashville Scene,"Fri, 29 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMilgFodHRwczovL3d3dy5uYXNodmlsbGVzY2VuZS5jb20vbmV3cy9waXRoaW50aGV3aW5kL3N0dWRlbnQtcHJvdGVzdHMtY29udGludWUtYXQtdmFuZGVyYmlsdC11bml2ZXJzaXR5L2FydGljbGVfZjM2NjY2YjItZWUxMi0xMWVlLWJhOTgtYTM2MzIwOGZkYjU5Lmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nashvillescene.com', 'title': 'Nashville Scene'}",3
22,U of M president says new policy in the works after pro-Palestinian protest at honors convocation • Michigan Advance - Michigan Advance,U of M president says new policy in the works after pro-Palestinian protest at honors convocation • Michigan Advance  Michigan Advance,"Thu, 28 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiiQFodHRwczovL21pY2hpZ2FuYWR2YW5jZS5jb20vMjAyNC8wMy8yOC91LW9mLW0tcHJlc2lkZW50LXNheXMtbmV3LXBvbGljeS1pbi10aGUtd29ya3MtYWZ0ZXItcHJvLXBhbGVzdGluaWFuLXByb3Rlc3QtYXQtaG9ub3JzLWNvbnZvY2F0aW9uL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://michiganadvance.com', 'title': 'Michigan Advance'}",3
25,Pro-Palestine Protest: Some city leaders want charges for Vanderbilt students dropped - WZTV,Pro-Palestine Protest: Some city leaders want charges for Vanderbilt students dropped  WZTV,"Fri, 29 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMikQFodHRwczovL2ZveDE3LmNvbS9uZXdzL2xvY2FsL3Byby1wYWxlc3RpbmUtcHJvdGVzdC1zb21lLWNpdHktbGVhZGVycy13YW50LWNoYXJnZXMtZm9yLXZhbmRlcmJpbHQtc3R1ZGVudHMtZHJvcHBlZC1uYXNodmlsbGUtdGVubmVzc2VlLWdvb2dsZS1uZXdz0gGVAWh0dHBzOi8vZm94MTcuY29tL2FtcC9uZXdzL2xvY2FsL3Byby1wYWxlc3RpbmUtcHJvdGVzdC1zb21lLWNpdHktbGVhZGVycy13YW50LWNoYXJnZXMtZm9yLXZhbmRlcmJpbHQtc3R1ZGVudHMtZHJvcHBlZC1uYXNodmlsbGUtdGVubmVzc2VlLWdvb2dsZS1uZXdz?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://fox17.com', 'title': 'WZTV'}",3
26,Arrested student speaks out following emergency protest - Stony Brook Statesman,Arrested student speaks out following emergency protest  Stony Brook Statesman,"Sat, 30 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vc2JzdGF0ZXNtYW4uY29tLzEyNjIwMy9uZXdzL2FycmVzdGVkLXN0dWRlbnQtc3BlYWtzLW91dC1mb2xsb3dpbmctZW1lcmdlbmN5LXByb3Rlc3Qv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://sbstatesman.com', 'title': 'Stony Brook Statesman'}",3
27,Cornell Students Arrested at Sit-In Protest Demanding Divestment from Weapons Manufacturers Complicit in Gaza Genocide - ithaca.com,Cornell Students Arrested at Sit-In Protest Demanding Divestment from Weapons Manufacturers Complicit in Gaza Genocide  ithaca.com,"Tue, 26 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiwgFodHRwczovL3d3dy5pdGhhY2EuY29tL25ld3MvaXRoYWNhL2Nvcm5lbGwtc3R1ZGVudHMtYXJyZXN0ZWQtYXQtc2l0LWluLXByb3Rlc3QtZGVtYW5kaW5nLWRpdmVzdG1lbnQtZnJvbS13ZWFwb25zLW1hbnVmYWN0dXJlcnMtY29tcGxpY2l0LWluLWdhemEvYXJ0aWNsZV80MDMwZDUzNi1lODUwLTExZWUtYTNiMi1jNzkwYmYyNGY3ZGMuaHRtbNIBxgFodHRwczovL3d3dy5pdGhhY2EuY29tL25ld3MvaXRoYWNhL2Nvcm5lbGwtc3R1ZGVudHMtYXJyZXN0ZWQtYXQtc2l0LWluLXByb3Rlc3QtZGVtYW5kaW5nLWRpdmVzdG1lbnQtZnJvbS13ZWFwb25zLW1hbnVmYWN0dXJlcnMtY29tcGxpY2l0LWluLWdhemEvYXJ0aWNsZV80MDMwZDUzNi1lODUwLTExZWUtYTNiMi1jNzkwYmYyNGY3ZGMuYW1wLmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.ithaca.com', 'title': 'ithaca.com'}",3
31,Student protesters interrupt Rep. Jamie Raskin's UMD lecture with chants supporting Palestine - The Diamondback,Student protesters interrupt Rep. Jamie Raskin's UMD lecture with chants supporting Palestine  The Diamondback,"Fri, 29 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vZGJrbmV3cy5jb20vMjAyNC8wMy8yOS9qYW1pZS1yYXNraW4tbGVjdHVyZS1wYWxlc3RpbmUtcHJvdGVzdC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://dbknews.com', 'title': 'The Diamondback'}",3
42,"Smith students occupy admin building, demand divestment from weapons manufacturers - GazetteNET","Smith students occupy admin building, demand divestment from weapons manufacturers  GazetteNET","Wed, 27 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LmdhemV0dGVuZXQuY29tL1N0dWRlbnRzLW9jY3VweS1hZG1pbmlzdHJhdGlvbi1idWlsZGluZy01NDUzODgxNdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.gazettenet.com', 'title': 'GazetteNET'}",3
45,U-M eyes ‘disruptive activity’ crackdown amid Israel-Hamas war protests - Bridge Michigan,U-M eyes ‘disruptive activity’ crackdown amid Israel-Hamas war protests  Bridge Michigan,"Thu, 28 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmJyaWRnZW1pLmNvbS90YWxlbnQtZWR1Y2F0aW9uL3UtbS1leWVzLWRpc3J1cHRpdmUtYWN0aXZpdHktY3JhY2tkb3duLWFtaWQtaXNyYWVsLWhhbWFzLXdhci1wcm90ZXN0c9IBc2h0dHBzOi8vd3d3LmJyaWRnZW1pLmNvbS90YWxlbnQtZWR1Y2F0aW9uL3UtbS1leWVzLWRpc3J1cHRpdmUtYWN0aXZpdHktY3JhY2tkb3duLWFtaWQtaXNyYWVsLWhhbWFzLXdhci1wcm90ZXN0cz9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.bridgemi.com', 'title': 'Bridge Michigan'}",3
46,Tennessee reporter arrested while covering student protest against Israel-Gaza war - US Press Freedom Tracker,Tennessee reporter arrested while covering student protest against Israel-Gaza war  US Press Freedom Tracker,"Tue, 26 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMigAFodHRwczovL3ByZXNzZnJlZWRvbXRyYWNrZXIudXMvYWxsLWluY2lkZW50cy90ZW5uZXNzZWUtcmVwb3J0ZXItYXJyZXN0ZWQtd2hpbGUtY292ZXJpbmctc3R1ZGVudC1wcm90ZXN0LWFnYWluc3QtaXNyYWVsLWdhemEtd2FyL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://pressfreedomtracker.us', 'title': 'US Press Freedom Tracker'}",3
48,"‘Chilling’ proposal threatens free speech at University of Michigan, students say - MLive.com","‘Chilling’ proposal threatens free speech at University of Michigan, students say  MLive.com","Fri, 29 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5tbGl2ZS5jb20vbmV3cy9hbm4tYXJib3IvMjAyNC8wMy9jaGlsbGluZy1wcm9wb3NhbC10aHJlYXRlbnMtZnJlZS1zcGVlY2gtYXQtdW5pdmVyc2l0eS1vZi1taWNoaWdhbi1zdHVkZW50cy1zYXkuaHRtbNIBjwFodHRwczovL3d3dy5tbGl2ZS5jb20vbmV3cy9hbm4tYXJib3IvMjAyNC8wMy9jaGlsbGluZy1wcm9wb3NhbC10aHJlYXRlbnMtZnJlZS1zcGVlY2gtYXQtdW5pdmVyc2l0eS1vZi1taWNoaWdhbi1zdHVkZW50cy1zYXkuaHRtbD9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.mlive.com', 'title': 'MLive.com'}",3
50,'You are funding genocide': TAHRIR members protest during 101st Annual Honors Convocation - The Michigan Daily,'You are funding genocide': TAHRIR members protest during 101st Annual Honors Convocation  The Michigan Daily,"Mon, 25 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiiQFodHRwczovL3d3dy5taWNoaWdhbmRhaWx5LmNvbS9uZXdzL2FkbWluaXN0cmF0aW9uL3lvdS1hcmUtZnVuZGluZy1nZW5vY2lkZS10YWhyaXItbWVtYmVycy1wcm90ZXN0LWR1cmluZy0xMDFzdC1hbm51YWwtaG9ub3JzLWNvbnZvY2F0aW9uL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.michigandaily.com', 'title': 'The Michigan Daily'}",3
51,Students rally against Islamophobia and lack of support for Palestinian students at IU - Indiana Daily Student,Students rally against Islamophobia and lack of support for Palestinian students at IU  Indiana Daily Student,"Wed, 27 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3Lmlkc25ld3MuY29tL2FydGljbGUvMjAyNC8wMy9zdHVkZW50cy1yYWxseS1hZ2FpbnN0LWlzbGFtb3Bob2JpYS1hbmQtbGFjay1vZi1zdXBwb3J0LWZvci1wYWxlc3Rpbmlhbi1zdHVkZW50cy1hdC1pddIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.idsnews.com', 'title': 'Indiana Daily Student'}",3
54,UM students protest the university's divestment of endowment funds in Israel - Detroit News,UM students protest the university's divestment of endowment funds in Israel  Detroit News,"Thu, 28 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMitAFodHRwczovL3d3dy5kZXRyb2l0bmV3cy5jb20vcGljdHVyZS1nYWxsZXJ5L21lZGlhL3Bob3RvLzIwMjQvMDMvMjgvdW5pdmVyc2l0eS1vZi1taWNoaWdhbi1zdHVkZW50cy1wcm90ZXN0LXRoZS11bml2ZXJzaXR5cy1kaXZlc3RtZW50LW9mLWVuZG93bWVudC1mdW5kcy1pbi1pc3JhZWwtYXMtYS83MzEzMTI2MDAwNy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.detroitnews.com', 'title': 'Detroit News'}",3
56,13 arrested outside Emerson College presidential inauguration while protesting school’s stance on Israel-Hamas war - Boston.com,13 arrested outside Emerson College presidential inauguration while protesting school’s stance on Israel-Hamas war  Boston.com,"Sun, 24 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmJvc3Rvbi5jb20vbmV3cy9sb2NhbC1uZXdzLzIwMjQvMDMvMjQvMTMtYXJyZXN0ZWQtZW1lcnNvbi1jb2xsZWdlLXByZXNpZGVudGlhbC1pbmF1Z3VyYXRpb24taXNyYWVsLWdhemEv0gF6aHR0cHM6Ly93d3cuYm9zdG9uLmNvbS9uZXdzL2xvY2FsLW5ld3MvMjAyNC8wMy8yNC8xMy1hcnJlc3RlZC1lbWVyc29uLWNvbGxlZ2UtcHJlc2lkZW50aWFsLWluYXVndXJhdGlvbi1pc3JhZWwtZ2F6YS8_YW1wPTE?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.boston.com', 'title': 'Boston.com'}",3
57,Protesters to UMass: Drop disciplinary action against students in 2023's Gaza sit-in - GazetteNET,Protesters to UMass: Drop disciplinary action against students in 2023's Gaza sit-in  GazetteNET,"Fri, 29 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LmdhemV0dGVuZXQuY29tL1VNYXNzLXByb2Zlc3NvcnMtcmFsbHktaW4tc3VwcG9ydC1vZi1zdHVkZW50cy1mYWNpbmctZGlzY2lwbGluZS1mb3Itc2l0LWluLWxhc3QtZmFsbC01NDU2NDkwMdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.gazettenet.com', 'title': 'GazetteNET'}",3
67,Cornell arrests 24 pro-Palestinian student protesters for refusing to leave building - The College Fix,Cornell arrests 24 pro-Palestinian student protesters for refusing to leave building  The College Fix,"Mon, 25 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnRoZWNvbGxlZ2VmaXguY29tL2Nvcm5lbGwtYXJyZXN0cy0yNC1wcm8tcGFsZXN0aW5pYW4tc3R1ZGVudC1wcm90ZXN0ZXJzLWZvci1yZWZ1c2luZy10by1sZWF2ZS1idWlsZGluZy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.thecollegefix.com', 'title': 'The College Fix'}",3
69,Howard policies allow campus-wide protests amid Israel-Gaza war - The Hilltop Online,Howard policies allow campus-wide protests amid Israel-Gaza war  The Hilltop Online,"Wed, 27 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vdGhlaGlsbHRvcG9ubGluZS5jb20vMjAyNC8wMy8yNy9ob3dhcmQtcG9saWNpZXMtYWxsb3ctY2FtcHVzLXdpZGUtcHJvdGVzdHMtYW1pZC1pc3JhZWwtZ2F6YS13YXIv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://thehilltoponline.com', 'title': 'The Hilltop Online'}",3
77,Scene Reporter Arrested at Vanderbilt University | Pith in the Wind | Nashville News | nashvillescene.com - Nashville Scene,Scene Reporter Arrested at Vanderbilt University | Pith in the Wind | Nashville News | nashvillescene.com  Nashville Scene,"Tue, 26 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3Lm5hc2h2aWxsZXNjZW5lLmNvbS9uZXdzL3BpdGhpbnRoZXdpbmQvc2NlbmUtcmVwb3J0ZXItYXJyZXN0ZWQvYXJ0aWNsZV81MjJjMTRiOC1lYmE2LTExZWUtYjM0NC1lYmI2YjVmNmYwM2UuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.nashvillescene.com', 'title': 'Nashville Scene'}",3
78,Pro-Palestinian Students Call 911 Over Concerns About Protester's Tampon - Newsweek,Pro-Palestinian Students Call 911 Over Concerns About Protester's Tampon  Newsweek,"Wed, 27 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS9wcm8tcGFsZXN0aW5pYW4tc3R1ZGVudHMtY2FsbC05MTEtdGFtcG9uLXZhbmRlcmJpbHQtdW5pdmVyc2l0eS0xODg0MjUw0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.newsweek.com', 'title': 'Newsweek'}",3
79,UC Berkeley police release photos of suspects in violent protest at Jewish student event - CBS San Francisco,UC Berkeley police release photos of suspects in violent protest at Jewish student event  CBS San Francisco,"Tue, 26 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5jYnNuZXdzLmNvbS9zYW5mcmFuY2lzY28vbmV3cy91Yy1iZXJrZWxleS1qZXdpc2gtc3R1ZGVudC1ldmVudC12aW9sZW50LXByb3Rlc3QtcGFsZXN0aW5pYW4tZ2F6YS16ZWxsZXJiYWNoLWhhbGwtc3VzcGVjdC1waG90b3Mv0gGPAWh0dHBzOi8vd3d3LmNic25ld3MuY29tL2FtcC9zYW5mcmFuY2lzY28vbmV3cy91Yy1iZXJrZWxleS1qZXdpc2gtc3R1ZGVudC1ldmVudC12aW9sZW50LXByb3Rlc3QtcGFsZXN0aW5pYW4tZ2F6YS16ZWxsZXJiYWNoLWhhbGwtc3VzcGVjdC1waG90b3Mv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.cbsnews.com', 'title': 'CBS San Francisco'}",3
80,Pro-Israel Advocates Are Weaponizing “Safety” on College Campuses - The Intercept,Pro-Israel Advocates Are Weaponizing “Safety” on College Campuses  The Intercept,"Thu, 28 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vdGhlaW50ZXJjZXB0LmNvbS8yMDI0LzAzLzI4L3NhZmV0eS1jb2xsZWdlLWNvbHVtYmlhLXN0YW5mb3JkLWFudGlzZW1pdGlzbS1pc3JhZWwtcGFsZXN0aW5lL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://theintercept.com', 'title': 'The Intercept'}",3
81,UM students held protest in response to university's disruptive activity policy draft - WEMU,UM students held protest in response to university's disruptive activity policy draft  WEMU,"Fri, 29 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LndlbXUub3JnL3dlbXUtbmV3cy8yMDI0LTAzLTI5L3VtLXN0dWRlbnRzLWhlbGQtcHJvdGVzdC1pbi1yZXNwb25zZS10by11bml2ZXJzaXR5cy1kaXNydXB0aXZlLWFjdGl2aXR5LXBvbGljeS1kcmFmdNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.wemu.org', 'title': 'WEMU'}",3
84,Over 1000 students protest against the Gaza genocide and new anti-democratic policy at University of Michigan - WSWS,Over 1000 students protest against the Gaza genocide and new anti-democratic policy at University of Michigan  WSWS,"Thu, 28 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vd3d3Lndzd3Mub3JnL2VuL2FydGljbGVzLzIwMjQvMDMvMjkvd25oZS1tMjkuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.wsws.org', 'title': 'WSWS'}",3
88,"Vanderbilt students arrested, suspended at rowdy protest over anti-Israel ballot initiative - Fox News","Vanderbilt students arrested, suspended at rowdy protest over anti-Israel ballot initiative  Fox News","Wed, 27 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL21lZGlhL3ZhbmRlcmJpbHQtc3R1ZGVudHMtYXJyZXN0ZWQtc3VzcGVuZGVkLXJvd2R5LXByb3Rlc3Qtb3Zlci1hbnRpLWlzcmFlbC1iYWxsb3QtaW5pdGlhdGl2ZdIBeWh0dHBzOi8vd3d3LmZveG5ld3MuY29tL21lZGlhL3ZhbmRlcmJpbHQtc3R1ZGVudHMtYXJyZXN0ZWQtc3VzcGVuZGVkLXJvd2R5LXByb3Rlc3Qtb3Zlci1hbnRpLWlzcmFlbC1iYWxsb3QtaW5pdGlhdGl2ZS5hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.foxnews.com', 'title': 'Fox News'}",3
91,Students unite to protest for Palestinian aid at Scramble Light - Ball State Daily News,Students unite to protest for Palestinian aid at Scramble Light  Ball State Daily News,"Mon, 25 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3LmJhbGxzdGF0ZWRhaWx5LmNvbS9hcnRpY2xlLzIwMjQvMDMvc3R1ZGVudHMtdW5pdGUtdG8tcHJvdGVzdC1mb3ItcGFsZXN0aW5pYW4tYWlkLWF0LXNjcmFtYmxlLWxpZ2h0LW5ld3MtY29uZmxpY3TSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.ballstatedaily.com', 'title': 'Ball State Daily News'}",3
94,Activists disrupt U of M event to urge divestment from Israel - Michigan Public,Activists disrupt U of M event to urge divestment from Israel  Michigan Public,"Fri, 29 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3Lm1pY2hpZ2FucHVibGljLm9yZy9zb2NpYWwtanVzdGljZS8yMDI0LTAzLTI5L2FjdGl2aXN0cy1kaXNydXB0LXUtb2YtbS1ldmVudC10by11cmdlLWRpdmVzdG1lbnQtZnJvbS1pc3JhZWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.michiganpublic.org', 'title': 'Michigan Public'}",3
97,Students Arrested at SUNY Campus During Pro-Palestine Day of Action Protest - PRESSENZA – International News Agency,Students Arrested at SUNY Campus During Pro-Palestine Day of Action Protest  PRESSENZA – International News Agency,"Sat, 30 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnByZXNzZW56YS5jb20vMjAyNC8wMy9zdHVkZW50cy1hcnJlc3RlZC1hdC1zdW55LWNhbXB1cy1kdXJpbmctcHJvLXBhbGVzdGluZS1kYXktb2YtYWN0aW9uLXByb3Rlc3Qv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.pressenza.com', 'title': 'PRESSENZA – International News Agency'}",3
99,"Oswego students organize protest, memorial, denounce Palestine violence - Oswegonian","Oswego students organize protest, memorial, denounce Palestine violence  Oswegonian","Thu, 28 Mar 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lm9zd2Vnb25pYW4uY29tLzIwMjQvMDMvMjgvb3N3ZWdvLXN0dWRlbnRzLW9yZ2FuaXplLXByb3Rlc3QtbWVtb3JpYWwtZGVub3VuY2UtcGFsZXN0aW5lLXZpb2xlbmNlL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.oswegonian.com', 'title': 'Oswegonian'}",3
4,Student 'assaulted' at protest outside Chabad - The Emory Wheel,Student 'assaulted' at protest outside Chabad  The Emory Wheel,"Wed, 03 Apr 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vZW1vcnl3aGVlbC5jb20vc3R1ZGVudC1hc3NhdWx0ZWQtYXQtcHJvdGVzdC1vdXRzaWRlLWNoYWJhZC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://emorywheel.com', 'title': 'The Emory Wheel'}",3
9,20 arrested after students occupy administration building at Pomona College in support of Palestinians - San Bernardino County Sun,20 arrested after students occupy administration building at Pomona College in support of Palestinians  San Bernardino County Sun,"Fri, 05 Apr 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnNic3VuLmNvbS8yMDI0LzA0LzA1L3NldmVyYWwtc3R1ZGVudHMtb2NjdXB5LWFkbWluaXN0cmF0aW9uLWJ1aWxkaW5nLWF0LXBvbW9uYS1jb2xsZWdlLWluLXN1cHBvcnQtb2YtcGFsZXN0aW5pYW5zL9IBggFodHRwczovL3d3dy5zYnN1bi5jb20vMjAyNC8wNC8wNS9zZXZlcmFsLXN0dWRlbnRzLW9jY3VweS1hZG1pbmlzdHJhdGlvbi1idWlsZGluZy1hdC1wb21vbmEtY29sbGVnZS1pbi1zdXBwb3J0LW9mLXBhbGVzdGluaWFucy9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.sbsun.com', 'title': 'San Bernardino County Sun'}",3
10,Pomona College students stage campus campout calling for cease-fire in Gaza - Inland Valley Daily Bulletin,Pomona College students stage campus campout calling for cease-fire in Gaza  Inland Valley Daily Bulletin,"Thu, 04 Apr 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LmRhaWx5YnVsbGV0aW4uY29tLzIwMjQvMDQvMDQvcG9tb25hLWNvbGxlZ2Utc3R1ZGVudHMtc3RhZ2UtY2FtcHVzLWNhbXBvdXQtY2FsbGluZy1mb3ItY2Vhc2UtZmlyZS1pbi1nYXphL9IBeWh0dHBzOi8vd3d3LmRhaWx5YnVsbGV0aW4uY29tLzIwMjQvMDQvMDQvcG9tb25hLWNvbGxlZ2Utc3R1ZGVudHMtc3RhZ2UtY2FtcHVzLWNhbXBvdXQtY2FsbGluZy1mb3ItY2Vhc2UtZmlyZS1pbi1nYXphL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.dailybulletin.com', 'title': 'Inland Valley Daily Bulletin'}",3
12,Hundreds march in solidarity with Vanderbilt students suspended over pro-Palestinian protest - WPLN,Hundreds march in solidarity with Vanderbilt students suspended over pro-Palestinian protest  WPLN,"Wed, 03 Apr 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3Bsbi5vcmcvcG9zdC9odW5kcmVkcy1tYXJjaC1pbi1zb2xpZGFyaXR5LXdpdGgtdmFuZGVyYmlsdC1zdHVkZW50cy1zdXNwZW5kZWQtb3Zlci1wcm8tcGFsZXN0aW5pYW4tcHJvdGVzdC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://wpln.org', 'title': 'WPLN'}",3
14,"Congress, Cornell president respond to anti-war student protests on campus - WXXI News","Congress, Cornell president respond to anti-war student protests on campus  WXXI News","Mon, 01 Apr 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3Lnd4eGluZXdzLm9yZy9sb2NhbC1uZXdzLzIwMjQtMDQtMDEvY29uZ3Jlc3MtY29ybmVsbC1wcmVzaWRlbnQtcmVzcG9uZC10by1hbnRpLXdhci1zdHVkZW50LXByb3Rlc3RzLW9uLWNhbXB1c9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.wxxinews.org', 'title': 'WXXI News'}",3
18,"20 Pomona College protesters arrested after storming, occupying president's office - Los Angeles Times","20 Pomona College protesters arrested after storming, occupying president's office  Los Angeles Times","Sun, 07 Apr 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmxhdGltZXMuY29tL2NhbGlmb3JuaWEvc3RvcnkvMjAyNC0wNC0wNi9wb21vbmEtY29sbGVnZS1wcm90ZXN0ZXJzLWFycmVzdGVk0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.latimes.com', 'title': 'Los Angeles Times'}",3
