,title,description,published date,url,publisher,score
21,Protesters Disrupt Event With Israeli Soldier on New School Campus - Hyperallergic,Protesters Disrupt Event With Israeli Soldier on New School Campus  Hyperallergic,"Thu, 07 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vaHlwZXJhbGxlcmdpYy5jb20vODc2NDAzL3Byb3Rlc3RlcnMtZGlzcnVwdC1ldmVudC13aXRoLWlzcmFlbGktc29sZGllci1vbi1uZXctc2Nob29sLWNhbXB1cy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://hyperallergic.com', 'title': 'Hyperallergic'}",3
23,Statement from President Rivera Regarding Mac for Palestine Protest - Macalester College,Statement from President Rivera Regarding Mac for Palestine Protest  Macalester College,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3Lm1hY2FsZXN0ZXIuZWR1L3ByZXNpZGVudC9tZXNzYWdlcy8yMDI0LTAzLTA2LXN0YXRlbWVudC1yZWdhcmRpbmctbWFjLWZvci1wYWxlc3RpbmUtcHJvdGVzdC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.macalester.edu', 'title': 'Macalester College'}",3
24,UC San Diego to boost security ahead of pro-Palestinian demonstrations over Gaza war - The San Diego Union-Tribune,UC San Diego to boost security ahead of pro-Palestinian demonstrations over Gaza war  The San Diego Union-Tribune,"Tue, 05 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMirQFodHRwczovL3d3dy5zYW5kaWVnb3VuaW9udHJpYnVuZS5jb20vbmV3cy9lZHVjYXRpb24vc3RvcnkvMjAyNC0wMy0wNS91Yy1zYW4tZGllZ28tb2ZmZXJzLXNhZmV0eS1lc2NvcnRzLXRvLXBlb3BsZS13aG9sbC1iZS1pbi1hcmVhLW9mLXByby1wYWxlc3RpbmUtcmFsbHktb24tY2FtcHVzLXdlZG5lc2RhedIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.sandiegouniontribune.com', 'title': 'The San Diego Union-Tribune'}",3
25,Palestine Library Sit-In Faces Administrative Pushback - The Catalyst,Palestine Library Sit-In Faces Administrative Pushback  The Catalyst,"Thu, 07 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vdGhlY2F0YWx5c3RuZXdzLmNvbS8yMDI0LzAzLzA3L3BhbGVzdGluZS1saWJyYXJ5LXNpdC1pbi1mYWNlcy1hZG1pbmlzdHJhdGl2ZS1wdXNoYmFjay_SAWJodHRwczovL3RoZWNhdGFseXN0bmV3cy5jb20vMjAyNC8wMy8wNy9wYWxlc3RpbmUtbGlicmFyeS1zaXQtaW4tZmFjZXMtYWRtaW5pc3RyYXRpdmUtcHVzaGJhY2svYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://thecatalystnews.com', 'title': 'The Catalyst'}",3
26,USG cabinet meeting interrupted by pro-Palestine protesters demanding Issue 29 be put back on the ballot - OSU - The Lantern,USG cabinet meeting interrupted by pro-Palestine protesters demanding Issue 29 be put back on the ballot  OSU - The Lantern,"Wed, 06 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMijAFodHRwczovL3d3dy50aGVsYW50ZXJuLmNvbS8yMDI0LzAzL3VzZy1jYWJpbmV0LW1lZXRpbmctaW50ZXJydXB0ZWQtYnktcHJvLXBhbGVzdGluZS1wcm90ZXN0ZXJzLWRlbWFuZGluZy1pc3N1ZS0yOS1iZS1wdXQtYmFjay1vbi10aGUtYmFsbG90L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.thelantern.com', 'title': 'OSU - The Lantern'}",3
29,Dozens of people on University of Arkansas campus protest war in Gaza | Arkansas Democrat Gazette - Arkansas Online,Dozens of people on University of Arkansas campus protest war in Gaza | Arkansas Democrat Gazette  Arkansas Online,"Sat, 09 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmFya2Fuc2Fzb25saW5lLmNvbS9uZXdzLzIwMjQvbWFyLzA5L2RvemVucy1vZi1wZW9wbGUtb24tdW5pdmVyc2l0eS1vZi1hcmthbnNhcy1jYW1wdXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.arkansasonline.com', 'title': 'Arkansas Online'}",3
31,SJP protests IDF soliders at Hillel Shabbat - PantherNOW,SJP protests IDF soliders at Hillel Shabbat  PantherNOW,"Sat, 09 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vcGFudGhlcm5vdy5jb20vMjAyNC8wMy8wOS9pc3JhZWxpLXNvbGRpZXJzLXByb3Rlc3Qv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://panthernow.com', 'title': 'PantherNOW'}",3
32,"Pro-Israel groups display Israeli flags commemorating Oct. 7 deaths, pro-Palestinian students stage protest - Duke Chronicle","Pro-Israel groups display Israeli flags commemorating Oct. 7 deaths, pro-Palestinian students stage protest  Duke Chronicle","Mon, 04 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiygFodHRwczovL3d3dy5kdWtlY2hyb25pY2xlLmNvbS9hcnRpY2xlLzIwMjQvMDMvZHVrZS11bml2ZXJzaXR5LXByby1pc3JhZWwtZ3JvdXBzLWRpc3BsYXktaXNyYWVsaS1mbGFncy1jb21tZW1vcmF0aW5nLW9jdC03LWRlYXRocy1wcm8tcGFsZXN0aW5pYW4tc3R1ZGVudHMtc3RhZ2UtcmVzcG9uc2Utc3NpLWNvdW50ZXItcHJvdGVzdC1kZW1vbnN0cmF0aW9u0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.dukechronicle.com', 'title': 'Duke Chronicle'}",3
36,UC San Diego student government group calls on school to divest from Israel - KPBS,UC San Diego student government group calls on school to divest from Israel  KPBS,"Thu, 07 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5rcGJzLm9yZy9uZXdzL3JhY2lhbC1qdXN0aWNlLXNvY2lhbC1lcXVpdHkvMjAyNC8wMy8wNy91Yy1zYW4tZGllZ28tc3R1ZGVudC1nb3Zlcm5tZW50LWdyb3VwLWNhbGxzLW9uLXNjaG9vbC10by1kaXZlc3QtZnJvbS1pc3JhZWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.kpbs.org', 'title': 'KPBS'}",3
39,UK students occupy university building in protest for Palestine - Al Jazeera English,UK students occupy university building in protest for Palestine  Al Jazeera English,"Fri, 08 Mar 2024 08:00:00 GMT",https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vcHJvZ3JhbS9uZXdzZmVlZC8yMDI0LzMvOC91ay11bml2ZXJzaXR5LXN0dWRlbnRzLW9jY3VweS1jYW1wdXMtYnVpbGRpbmctaW4tcHJvdGVzdC1mb3ItcGFsZXN0aW5l0gF-aHR0cHM6Ly93d3cuYWxqYXplZXJhLmNvbS9hbXAvcHJvZ3JhbS9uZXdzZmVlZC8yMDI0LzMvOC91ay11bml2ZXJzaXR5LXN0dWRlbnRzLW9jY3VweS1jYW1wdXMtYnVpbGRpbmctaW4tcHJvdGVzdC1mb3ItcGFsZXN0aW5l?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.aljazeera.com', 'title': 'Al Jazeera English'}",3
